Weight:RedKG
Weight up or down:down
Sample Freq:4000Hz
Impulse lenght:3sec
TID(SEC);AMP(V) Channel 1;AMP(V) Channel 2;CLASS
0.0005;1.5711385582736175;1.5789277829596804;0
0.00075;1.5711385582736175;1.5673408191876659;0
0.001;1.5711385582736175;1.567681612239784;0
0.00125;1.5711385582736175;1.567681612239784;0
0.0015;1.5711385582736175;1.567681612239784;0
0.00175;1.5711385582736175;1.567681612239784;0
0.002;1.5711385582736175;1.567681612239784;0
0.00225;1.5708025908716161;1.568022405291902;0
0.0025;1.570466623469615;1.5683631983440203;0
0.00275;1.570466623469615;1.5683631983440203;0
0.003;1.570466623469615;1.5687039913961383;0
0.00325;1.5711385582736175;1.568022405291902;0
0.0035;1.5708025908716161;1.5673408191876659;0
0.00375;1.570466623469615;1.567000026135548;0
0.004;1.5708025908716161;1.56665923308343;0
0.00425;1.5708025908716161;1.5663184400313117;0
0.0045;1.5708025908716161;1.5663184400313117;0
0.00475;1.5701306560676136;1.5659776469791937;0
0.005;1.5697946886656124;1.5659776469791937;0
0.00525;1.569458721263611;1.5663184400313117;0
0.0055;1.569458721263611;1.5673408191876659;0
0.00575;1.569458721263611;1.5687039913961383;0
0.006;1.5691227538616097;1.5700671636046106;0
0.00625;1.5687867864596086;1.5714303358130828;0
0.0065;1.5687867864596086;1.572111921917319;0
0.00675;1.5687867864596086;1.5727935080215552;0
0.007;1.5691227538616097;1.5731343010736731;0
0.00725;1.569458721263611;1.572452714969437;0
0.0075;1.569458721263611;1.571771128865201;0
0.00775;1.5697946886656124;1.5704079566567286;0
0.008;1.5697946886656124;1.5690447844482562;0
0.00825;1.570466623469615;1.567681612239784;0
0.0085;1.570466623469615;1.56665923308343;0
0.00875;1.5708025908716161;1.5656368539270755;0
0.009;1.5708025908716161;1.5646144747707214;0
0.00925;1.5711385582736175;1.562910509510131;0
0.0095;1.5711385582736175;1.5618881303537768;0
0.00975;1.5714745256756188;1.5608657511974227;0
0.01;1.57181049307762;1.5598433720410685;0
0.01025;1.57181049307762;1.5591617859368323;0
0.0105;1.5721464604796211;1.558820992884714;0
0.01075;1.5721464604796211;1.558820992884714;0
0.011;1.57181049307762;1.5591617859368323;0
0.01125;1.57181049307762;1.5584801998325961;0
0.0115;1.5714745256756188;1.5584801998325961;0
0.01175;1.57181049307762;1.558820992884714;0
0.012;1.5711385582736175;1.558820992884714;0
0.01225;1.5711385582736175;1.558820992884714;0
0.0125;1.5714745256756188;1.5581394067804781;0
